dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
558,Unsure,2021-11-01,396,572,65,74,801.244471290519,1157.24882850264,131.480665352791,149.68324976281,747,1514.3363770314813
558,Unsure,2021-12-01,382,504,70,77,771.398921010501,1017.68076347743,141.399803725402,155.504466910697,755,1526.390178928595
558,Unsure,2022-01-01,380,517,47,61,763.305598581172,1038.62882815774,94.4274018587087,122.47592612752,729,1464.3845443199439
558,Unsure,2022-02-01,407,574,81,93,836.176281094854,1179.31574347574,166.43005067776,191.069975740165,705,1449.748115913589
558,Unsure,2022-03-01,473,602,63,70,970.196091004098,1234.83888267548,129.209385022138,143.570827920937,691,1419.3368634194646
558,Unsure,2022-04-01,1171,1392,120,126,2407.10921552403,2861.24773074625,246.725392126246,259.06451222297,683,1404.2302113184858
558,Unsure,2022-05-01,1279,1576,132,139,2709.29001830106,3338.7886644956,279.33148494418,294.174971329464,677,1435.9351833496623
558,Unsure,2022-06-01,465,688,108,129,983.931656196319,1455.09860467523,228.409148053852,272.667620718747,699,1475.9379567723527
558,Unsure,2022-07-01,80,117,22,28,169.688030368024,248.043676394311,46.6060718704083,59.2747350910216,671,1428.4866591131397
558,Unsure,2022-08-01,11,54,5,16,23.5095893406511,115.478967489735,10.6834345371761,34.2170455844143,659,1413.7914087831807
558,Unsure,2022-09-01,3,38,2,16,6.47021998341766,82.0853003511488,4.31010131306332,34.5491936152471,657,1419.81843955728
558,Unsure,2022-10-01,226,330,34,45,504.459452039311,736.522004775621,75.89534502433,100.417296040465,646,1435.483009832525
559,No Team,2021-04-01,1062,1230,106,111,1881.6064185523,2174.89890237065,187.459977000841,196.195091421458,1453,2541.8125192504663
559,No Team,2021-05-01,1977,2305,140,146,3879.08765906439,4522.09316235711,274.590984270949,286.445246125074,1433,2802.3783191443185
559,No Team,2021-06-01,2570,3060,157,169,5007.04204875084,5961.75263044441,305.799529004207,329.167040935643,1408,2747.2149107331174
559,No Team,2021-07-01,932,1284,136,155,1830.76984584331,2522.26680313647,267.167486010443,304.509251468545,1396,2745.1089593205293
559,No Team,2021-08-01,197,221,37,38,387.949443291916,435.249345375709,72.8646979152659,74.8618299503305,1391,2747.062441530785
559,No Team,2021-09-01,2,12,2,4,4.04562586970389,24.191803961947,4.04562586970389,8.05142738659835,1331,2687.5388515903383
559,No Team,2021-10-01,414,529,79,88,856.382002199643,1094.23688453542,163.274896134743,181.877093609763,1303,2681.415735730194
559,No Team,2021-11-01,641,863,87,103,1335.99039669627,1798.74945434243,181.116382710006,214.453240311797,1290,2692.4505378751373
559,No Team,2021-12-01,676,892,106,122,1392.96025190664,1838.08467380338,218.661479259003,251.459924333284,1338,2766.1071376490177
559,No Team,2022-01-01,740,984,88,104,1580.57469227619,2101.59740025131,187.991969529764,222.193590244868,1288,2753.08937715001
